"state","american indian/alaskan","asian/hawaiian Native/Pacific Islander or asian","hispanic","black","white","hawaiian native/pacific islander","two or more races","Total number of students","9th","10th","11th","12th","high school","student support services"
"29","Nebraska","5015.000000","6062.000000","39568.000000","23610.000000","218335.000000","-2","-2","292590.000000","23137.000000","22496.000000","21799.000000","22246.000000",89678,"1304.000000"
"30","Nevada","6588.000000","34961.000000","159837.000000","48689.000000","183296.000000","-2","-2","433371.000000","41768.000000","34224.000000","25712.000000","23330.000000",125034,"84.000000"
"31","New Hampshire","646.000000","4772.000000","6552.000000","4099.000000","181865.000000","-2","-2","197934.000000","17244.000000","16260.000000","16016.000000","15419.000000",64939,"659.000000"
"32","New Jersey","2200.000000","114163.000000","275516.000000","236720.000000","746320.000000","2827.000000","3674.000000","1381420.000000","107770.000000","104922.000000","99293.000000","97515.000000",409500,"12565.000000"
"33","New Mexico","36457.000000","4506.000000","185184.000000","8675.000000","95423.000000","-2","-2","330245.000000","30191.000000","26530.000000","22169.000000","19940.000000",98830,"3103.000000"
"34","New York","13390.000000","210265.000000","584290.000000","526703.000000","1397155.000000","-2","-2","2740592.000000","235589.000000","224040.000000","194312.000000","185896.000000",839837,"12352.000000"
"35","North Carolina","21495.000000","36646.000000","157861.000000","463764.000000","807682.000000","-2","-2","1488645.000000","131515.000000","111292.000000","98188.000000","88724.000000",429719,"8095.000000"
"36","North Dakota","8705.000000","1006.000000","2105.000000","2113.000000","80799.000000","-2","-2","94728.000000","7687.000000","7856.000000","7622.000000","7608.000000",30773,"529.000000"
"37","Ohio","2536.000000","30174.000000","49440.000000","295201.000000","1372263.000000","-2","-2","1817163.000000","160269.000000","143494.000000","139384.000000","134522.000000",577669,"19376.000000"
"38","Oklahoma","124138.000000","13662.000000","67677.000000","70003.000000","369628.000000","-2","-2","645108.000000","48896.000000","45894.000000","43091.000000","38798.000000",176679,"3910.000000"
"39","Oregon","11341.000000","26758.000000","97214.000000","16485.000000","385444.000000","-2","-2","575393.000000","44640.000000","44681.000000","44531.000000","46120.000000",179972,"2163.000000"
"40","Pennsylvania","2904.000000","51532.000000","132762.000000","277404.000000","1295127.000000","-2","-2","1775029.000000","153341.000000","149052.000000","140191.000000","136937.000000",579521,"8746.000000"
"41","Rhode Island","1055.000000","4624.000000","26902.000000","13098.000000","99663.000000","-2","-2","145342.000000","13614.000000","12203.000000","10833.000000","10709.000000",47359,"561.000000"
"42","South Carolina","2670.000000","11211.000000","38948.000000","277565.000000","384114.000000","-2","-2","718113.000000","64674.000000","55294.000000","47354.000000","43189.000000",210511,"2991.000000"
"43","South Dakota","15390.000000","1588.000000","3461.000000","3148.000000","102842.000000","-2","-2","126429.000000","10580.000000","10357.000000","9184.000000","8831.000000",38952,"713.000000"
"44","Tennessee","2064.000000","15925.000000","50652.000000","239163.000000","664138.000000","-2","-2","971950.000000","78675.000000","74858.000000","68562.000000","65306.000000",287401,"827.000000"
"45","Texas","16720.000000","169791.000000","2276041.000000","672754.000000","1616842.000000","-2","-2","4752148.000000","389217.000000","332620.000000","303492.000000","280308.000000",1305637,"21591.000000"
"46","Utah","7755.000000","18265.000000","80801.000000","8056.000000","441938.000000","-2","-2","559778.000000","39511.000000","38991.000000","38989.000000","37818.000000",155309,"1129.000000"
"47","Vermont","234.000000","1295.000000","1080.000000","1584.000000","87982.000000","78.000000","1372.000000","93625.000000","7754.000000","7574.000000","7783.000000","7520.000000",30631,"924.000000"
"48","Virginia","3751.000000","70475.000000","110691.000000","317658.000000","698634.000000","-2","-2","1235795.000000","106252.000000","97466.000000","89892.000000","87177.000000",380787,"7087.000000"
"49","Washington","25812.000000","89191.000000","158610.000000","56738.000000","672665.000000","-2","-2","1037018.000000","87546.000000","83254.000000","81508.000000","79916.000000",332224,"2939.000000"
"50","West Virginia","339.000000","2029.000000","2644.000000","15320.000000","262397.000000","-2","-2","282729.000000","23730.000000","20966.000000","19642.000000","18914.000000",83252,"1591.000000"
"51","Wisconsin","12947.000000","32061.000000","69972.000000","91647.000000","666959.000000","-2","-2","873750.000000","71676.000000","69408.000000","71339.000000","71799.000000",284222,"5959.000000"
"52","Wyoming","3077.000000","992.000000","9095.000000","1363.000000","72634.000000","-2","-2","87161.000000","7027.000000","7029.000000","6359.000000","6111.000000",26526,"482.000000"
